naics_code,kind_of_business,sales_month,sales
452112,Discount dept. stores,5/1/99,11189
452112,Discount dept. stores,6/1/99,10777
452112,Discount dept. stores,7/1/99,10537
452112,Discount dept. stores,8/1/99,10813
452112,Discount dept. stores,9/1/99,10083
452112,Discount dept. stores,10/1/99,10764
452112,Discount dept. stores,11/1/99,12653
452112,Discount dept. stores,12/1/99,18097
4529,Other general merchandise stores,1/1/99,10105
4529,Other general merchandise stores,2/1/99,9870
4529,Other general merchandise stores,3/1/99,11427
4529,Other general merchandise stores,4/1/99,11191
4529,Other general merchandise stores,5/1/99,12266
4529,Other general merchandise stores,6/1/99,12374
4529,Other general merchandise stores,7/1/99,12262
4529,Other general merchandise stores,8/1/99,12445
4529,Other general merchandise stores,9/1/99,11999
4529,Other general merchandise stores,10/1/99,12844
4529,Other general merchandise stores,11/1/99,14018
4529,Other general merchandise stores,12/1/99,19074
45291,Warehouse clubs and superstores,1/1/99,8081
45291,Warehouse clubs and superstores,2/1/99,7758
45291,Warehouse clubs and superstores,3/1/99,8990
45291,Warehouse clubs and superstores,4/1/99,8799
45291,Warehouse clubs and superstores,5/1/99,9708
45291,Warehouse clubs and superstores,6/1/99,9839
45291,Warehouse clubs and superstores,7/1/99,9768
45291,Warehouse clubs and superstores,8/1/99,9944
45291,Warehouse clubs and superstores,9/1/99,9585
45291,Warehouse clubs and superstores,10/1/99,10214
45291,Warehouse clubs and superstores,11/1/99,11120
45291,Warehouse clubs and superstores,12/1/99,15003
45299,All other gen. merchandise stores,1/1/99,2024
45299,All other gen. merchandise stores,2/1/99,2112
45299,All other gen. merchandise stores,3/1/99,2437
45299,All other gen. merchandise stores,4/1/99,2392
45299,All other gen. merchandise stores,5/1/99,2558
45299,All other gen. merchandise stores,6/1/99,2535
45299,All other gen. merchandise stores,7/1/99,2494
45299,All other gen. merchandise stores,8/1/99,2501
45299,All other gen. merchandise stores,9/1/99,2414
45299,All other gen. merchandise stores,10/1/99,2630
45299,All other gen. merchandise stores,11/1/99,2898
45299,All other gen. merchandise stores,12/1/99,4071
453,Miscellaneous store retailers,1/1/99,7392
453,Miscellaneous store retailers,2/1/99,7934
453,Miscellaneous store retailers,3/1/99,8380
453,Miscellaneous store retailers,4/1/99,8227
453,Miscellaneous store retailers,5/1/99,8509
453,Miscellaneous store retailers,6/1/99,8544
453,Miscellaneous store retailers,7/1/99,8240
453,Miscellaneous store retailers,8/1/99,8606
453,Miscellaneous store retailers,9/1/99,8420
453,Miscellaneous store retailers,10/1/99,8426
453,Miscellaneous store retailers,11/1/99,9190
453,Miscellaneous store retailers,12/1/99,12350
4532,"Office supplies, stationery, and gift stores",1/1/99,3112
4532,"Office supplies, stationery, and gift stores",2/1/99,3055
4532,"Office supplies, stationery, and gift stores",3/1/99,3169
4532,"Office supplies, stationery, and gift stores",4/1/99,2943
4532,"Office supplies, stationery, and gift stores",5/1/99,2899
4532,"Office supplies, stationery, and gift stores",6/1/99,2938
4532,"Office supplies, stationery, and gift stores",7/1/99,2850
4532,"Office supplies, stationery, and gift stores",8/1/99,3308
4532,"Office supplies, stationery, and gift stores",9/1/99,3228
4532,"Office supplies, stationery, and gift stores",10/1/99,3259
4532,"Office supplies, stationery, and gift stores",11/1/99,3694
4532,"Office supplies, stationery, and gift stores",12/1/99,5551
45321,Office supplies and stationery stores,1/1/99,2018
45321,Office supplies and stationery stores,2/1/99,1812
45321,Office supplies and stationery stores,3/1/99,1815
45321,Office supplies and stationery stores,4/1/99,1649
45321,Office supplies and stationery stores,5/1/99,1571
45321,Office supplies and stationery stores,6/1/99,1611
45321,Office supplies and stationery stores,7/1/99,1517
45321,Office supplies and stationery stores,8/1/99,1966
45321,Office supplies and stationery stores,9/1/99,1965
45321,Office supplies and stationery stores,10/1/99,1772
45321,Office supplies and stationery stores,11/1/99,1796
45321,Office supplies and stationery stores,12/1/99,2108
45322,"Gift, novelty, and souvenir stores",1/1/99,1094
45322,"Gift, novelty, and souvenir stores",2/1/99,1243
45322,"Gift, novelty, and souvenir stores",3/1/99,1354
45322,"Gift, novelty, and souvenir stores",4/1/99,1294
45322,"Gift, novelty, and souvenir stores",5/1/99,1328
45322,"Gift, novelty, and souvenir stores",6/1/99,1327
45322,"Gift, novelty, and souvenir stores",7/1/99,1333
45322,"Gift, novelty, and souvenir stores",8/1/99,1342
45322,"Gift, novelty, and souvenir stores",9/1/99,1263
45322,"Gift, novelty, and souvenir stores",10/1/99,1487
45322,"Gift, novelty, and souvenir stores",11/1/99,1898
45322,"Gift, novelty, and souvenir stores",12/1/99,3443
45330,Used merchandise stores,1/1/99,639
45330,Used merchandise stores,2/1/99,783
45330,Used merchandise stores,3/1/99,782
45330,Used merchandise stores,4/1/99,731
45330,Used merchandise stores,5/1/99,724
45330,Used merchandise stores,6/1/99,759
45330,Used merchandise stores,7/1/99,749
45330,Used merchandise stores,8/1/99,784
45330,Used merchandise stores,9/1/99,722
45330,Used merchandise stores,10/1/99,848
45330,Used merchandise stores,11/1/99,804
45330,Used merchandise stores,12/1/99,1052
454,Nonstore retailers,1/1/99,11463
454,Nonstore retailers,2/1/99,11018
454,Nonstore retailers,3/1/99,12876
454,Nonstore retailers,4/1/99,11835
454,Nonstore retailers,5/1/99,11382
454,Nonstore retailers,6/1/99,11574
454,Nonstore retailers,7/1/99,11104
454,Nonstore retailers,8/1/99,11918
454,Nonstore retailers,9/1/99,12683
454,Nonstore retailers,10/1/99,13431
454,Nonstore retailers,11/1/99,14895
454,Nonstore retailers,12/1/99,17618
4541,Electronic shopping and mail-order houses,1/1/99,6491
4541,Electronic shopping and mail-order houses,2/1/99,6391
4541,Electronic shopping and mail-order houses,3/1/99,7595
4541,Electronic shopping and mail-order houses,4/1/99,7128
4541,Electronic shopping and mail-order houses,5/1/99,6925
4541,Electronic shopping and mail-order houses,6/1/99,7222
4541,Electronic shopping and mail-order houses,7/1/99,6964
4541,Electronic shopping and mail-order houses,8/1/99,7514
4541,Electronic shopping and mail-order houses,9/1/99,8033
4541,Electronic shopping and mail-order houses,10/1/99,8552
4541,Electronic shopping and mail-order houses,11/1/99,9604
4541,Electronic shopping and mail-order houses,12/1/99,11863
45431,Fuel dealers,1/1/99,2256
45431,Fuel dealers,2/1/99,1798
45431,Fuel dealers,3/1/99,2011
45431,Fuel dealers,4/1/99,1495
45431,Fuel dealers,5/1/99,1303
45431,Fuel dealers,6/1/99,1222
45431,Fuel dealers,7/1/99,1186
45431,Fuel dealers,8/1/99,1275
45431,Fuel dealers,9/1/99,1420
45431,Fuel dealers,10/1/99,1682
45431,Fuel dealers,11/1/99,1821
45431,Fuel dealers,12/1/99,2443
722,Food services and drinking places,1/1/99,21316
722,Food services and drinking places,2/1/99,21199
722,Food services and drinking places,3/1/99,23320
722,Food services and drinking places,4/1/99,23674
722,Food services and drinking places,5/1/99,24651
722,Food services and drinking places,6/1/99,24088
722,Food services and drinking places,7/1/99,25059
722,Food services and drinking places,8/1/99,24611
722,Food services and drinking places,9/1/99,23240
722,Food services and drinking places,10/1/99,24847
722,Food services and drinking places,11/1/99,23249
722,Food services and drinking places,12/1/99,24646
7224,Drinking places,1/1/99,1102
7224,Drinking places,2/1/99,1140
7224,Drinking places,3/1/99,1291
7224,Drinking places,4/1/99,1247
7224,Drinking places,5/1/99,1207
7224,Drinking places,6/1/99,1196
7224,Drinking places,7/1/99,1256
7224,Drinking places,8/1/99,1205
7224,Drinking places,9/1/99,1177
7224,Drinking places,10/1/99,1263
7224,Drinking places,11/1/99,1185
7224,Drinking places,12/1/99,1261
7225,Restaurants and other eating places,1/1/99,18497
7225,Restaurants and other eating places,2/1/99,18325
7225,Restaurants and other eating places,3/1/99,20112
7225,Restaurants and other eating places,4/1/99,20462
7225,Restaurants and other eating places,5/1/99,21272
7225,Restaurants and other eating places,6/1/99,20725
7225,Restaurants and other eating places,7/1/99,21695
7225,Restaurants and other eating places,8/1/99,21274
7225,Restaurants and other eating places,9/1/99,19977
7225,Restaurants and other eating places,10/1/99,21373
7225,Restaurants and other eating places,11/1/99,19960
7225,Restaurants and other eating places,12/1/99,21089
722511,Full service restaurants,1/1/99,9535
722511,Full service restaurants,2/1/99,9467
722511,Full service restaurants,3/1/99,10334
722511,Full service restaurants,4/1/99,10520
722511,Full service restaurants,5/1/99,10740
722511,Full service restaurants,6/1/99,10503
722511,Full service restaurants,7/1/99,11031
722511,Full service restaurants,8/1/99,10888
722511,Full service restaurants,9/1/99,10250
722511,Full service restaurants,10/1/99,11004
722511,Full service restaurants,11/1/99,10182
722511,Full service restaurants,12/1/99,10654
"722513, 722514, 722515",Limited service eating places,1/1/99,8962
"722513, 722514, 722515",Limited service eating places,2/1/99,8858
"722513, 722514, 722515",Limited service eating places,3/1/99,9778
"722513, 722514, 722515",Limited service eating places,4/1/99,9942
"722513, 722514, 722515",Limited service eating places,5/1/99,10532
"722513, 722514, 722515",Limited service eating places,6/1/99,10222
"722513, 722514, 722515",Limited service eating places,7/1/99,10664
"722513, 722514, 722515",Limited service eating places,8/1/99,10386
"722513, 722514, 722515",Limited service eating places,9/1/99,9727
"722513, 722514, 722515",Limited service eating places,10/1/99,10369
"722513, 722514, 722515",Limited service eating places,11/1/99,9778
"722513, 722514, 722515",Limited service eating places,12/1/99,10435
,"Retail and food services sales, total",1/1/98,207853
,"Retail and food services sales, total",2/1/98,203863
,"Retail and food services sales, total",3/1/98,230313
,"Retail and food services sales, total",4/1/98,234503
,"Retail and food services sales, total",5/1/98,245027
,"Retail and food services sales, total",6/1/98,244067
,"Retail and food services sales, total",7/1/98,241431
,"Retail and food services sales, total",8/1/98,240462
,"Retail and food services sales, total",9/1/98,231243
,"Retail and food services sales, total",10/1/98,244234
,"Retail and food services sales, total",11/1/98,240991
,"Retail and food services sales, total",12/1/98,288969
,Retail sales and food services excl motor vehicle and parts,1/1/98,158132
,Retail sales and food services excl motor vehicle and parts,2/1/98,153119
,Retail sales and food services excl motor vehicle and parts,3/1/98,170482
,Retail sales and food services excl motor vehicle and parts,4/1/98,174475
,Retail sales and food services excl motor vehicle and parts,5/1/98,182817
,Retail sales and food services excl motor vehicle and parts,6/1/98,179213
,Retail sales and food services excl motor vehicle and parts,7/1/98,181661
,Retail sales and food services excl motor vehicle and parts,8/1/98,182720
,Retail sales and food services excl motor vehicle and parts,9/1/98,174613
,Retail sales and food services excl motor vehicle and parts,10/1/98,184751
,Retail sales and food services excl motor vehicle and parts,11/1/98,188435
,Retail sales and food services excl motor vehicle and parts,12/1/98,234123
,Retail sales and food services excl gasoline stations,1/1/98,192618
,Retail sales and food services excl gasoline stations,2/1/98,189800
,Retail sales and food services excl gasoline stations,3/1/98,214955
,Retail sales and food services excl gasoline stations,4/1/98,218816
,Retail sales and food services excl gasoline stations,5/1/98,228247
,Retail sales and food services excl gasoline stations,6/1/98,227337
,Retail sales and food services excl gasoline stations,7/1/98,224137
,Retail sales and food services excl gasoline stations,8/1/98,223644
,Retail sales and food services excl gasoline stations,9/1/98,215384
,Retail sales and food services excl gasoline stations,10/1/98,227824
,Retail sales and food services excl gasoline stations,11/1/98,225618
,Retail sales and food services excl gasoline stations,12/1/98,272849
,Retail sales and food services excl motor vehicle and parts and gasoline stations,1/1/98,142897
,Retail sales and food services excl motor vehicle and parts and gasoline stations,2/1/98,139056
,Retail sales and food services excl motor vehicle and parts and gasoline stations,3/1/98,155124
,Retail sales and food services excl motor vehicle and parts and gasoline stations,4/1/98,158788
,Retail sales and food services excl motor vehicle and parts and gasoline stations,5/1/98,166037
,Retail sales and food services excl motor vehicle and parts and gasoline stations,6/1/98,162483
,Retail sales and food services excl motor vehicle and parts and gasoline stations,7/1/98,164367
,Retail sales and food services excl motor vehicle and parts and gasoline stations,8/1/98,165902
,Retail sales and food services excl motor vehicle and parts and gasoline stations,9/1/98,158754
,Retail sales and food services excl motor vehicle and parts and gasoline stations,10/1/98,168341
,Retail sales and food services excl motor vehicle and parts and gasoline stations,11/1/98,173062
,Retail sales and food services excl motor vehicle and parts and gasoline stations,12/1/98,218003
,"Retail sales, total",1/1/98,187445
,"Retail sales, total",2/1/98,183767
,"Retail sales, total",3/1/98,207973
,"Retail sales, total",4/1/98,212262
,"Retail sales, total",5/1/98,221155
,"Retail sales, total",6/1/98,220867
,"Retail sales, total",7/1/98,217687
,"Retail sales, total",8/1/98,216605
,"Retail sales, total",9/1/98,208915
,"Retail sales, total",10/1/98,220499
,"Retail sales, total",11/1/98,218969
,"Retail sales, total",12/1/98,265618
,"Retail sales, total (excl. motor vehicle and parts dealers)",1/1/98,137724
,"Retail sales, total (excl. motor vehicle and parts dealers)",2/1/98,133023
,"Retail sales, total (excl. motor vehicle and parts dealers)",3/1/98,148142
,"Retail sales, total (excl. motor vehicle and parts dealers)",4/1/98,152234
,"Retail sales, total (excl. motor vehicle and parts dealers)",5/1/98,158945
,"Retail sales, total (excl. motor vehicle and parts dealers)",6/1/98,156013
,"Retail sales, total (excl. motor vehicle and parts dealers)",7/1/98,157917
,"Retail sales, total (excl. motor vehicle and parts dealers)",8/1/98,158863
,"Retail sales, total (excl. motor vehicle and parts dealers)",9/1/98,152285
,"Retail sales, total (excl. motor vehicle and parts dealers)",10/1/98,161016
,"Retail sales, total (excl. motor vehicle and parts dealers)",11/1/98,166413
,"Retail sales, total (excl. motor vehicle and parts dealers)",12/1/98,210772
,GAFO(1),1/1/98,50777
,GAFO(1),2/1/98,50744
,GAFO(1),3/1/98,56790
,GAFO(1),4/1/98,58363
,GAFO(1),5/1/98,61136
,GAFO(1),6/1/98,59553
,GAFO(1),7/1/98,59602
,GAFO(1),8/1/98,63575
,GAFO(1),9/1/98,58678
,GAFO(1),10/1/98,62784
,GAFO(1),11/1/98,71608
,GAFO(1),12/1/98,104326
441,Motor vehicle and parts dealers,1/1/98,49721
441,Motor vehicle and parts dealers,2/1/98,50744
441,Motor vehicle and parts dealers,3/1/98,59831
441,Motor vehicle and parts dealers,4/1/98,60028
441,Motor vehicle and parts dealers,5/1/98,62210
441,Motor vehicle and parts dealers,6/1/98,64854
441,Motor vehicle and parts dealers,7/1/98,59770
441,Motor vehicle and parts dealers,8/1/98,57742
441,Motor vehicle and parts dealers,9/1/98,56630
441,Motor vehicle and parts dealers,10/1/98,59483
441,Motor vehicle and parts dealers,11/1/98,52556
441,Motor vehicle and parts dealers,12/1/98,54846
"4411,4412",Automobile and other motor vehicle dealers,1/1/98,45243
"4411,4412",Automobile and other motor vehicle dealers,2/1/98,46390
"4411,4412",Automobile and other motor vehicle dealers,3/1/98,54803
"4411,4412",Automobile and other motor vehicle dealers,4/1/98,54934
"4411,4412",Automobile and other motor vehicle dealers,5/1/98,57069
"4411,4412",Automobile and other motor vehicle dealers,6/1/98,59574
"4411,4412",Automobile and other motor vehicle dealers,7/1/98,54406
"4411,4412",Automobile and other motor vehicle dealers,8/1/98,52517
"4411,4412",Automobile and other motor vehicle dealers,9/1/98,51555
"4411,4412",Automobile and other motor vehicle dealers,10/1/98,54167
"4411,4412",Automobile and other motor vehicle dealers,11/1/98,47787
"4411,4412",Automobile and other motor vehicle dealers,12/1/98,49971
4411,Automobile dealers,1/1/98,43371
4411,Automobile dealers,2/1/98,44090
4411,Automobile dealers,3/1/98,51772
4411,Automobile dealers,4/1/98,51484
4411,Automobile dealers,5/1/98,53328
4411,Automobile dealers,6/1/98,55940
4411,Automobile dealers,7/1/98,50755
4411,Automobile dealers,8/1/98,49441
4411,Automobile dealers,9/1/98,48698
4411,Automobile dealers,10/1/98,51277
4411,Automobile dealers,11/1/98,45679
4411,Automobile dealers,12/1/98,47666
44111,New car dealers,1/1/98,39690
44111,New car dealers,2/1/98,39936
44111,New car dealers,3/1/98,47249
44111,New car dealers,4/1/98,47084
44111,New car dealers,5/1/98,48972
44111,New car dealers,6/1/98,51217
44111,New car dealers,7/1/98,46220
44111,New car dealers,8/1/98,44965
44111,New car dealers,9/1/98,44560
44111,New car dealers,10/1/98,46742
44111,New car dealers,11/1/98,41949
44111,New car dealers,12/1/98,43975
44112,Used car dealers,1/1/98,3681
44112,Used car dealers,2/1/98,4154
44112,Used car dealers,3/1/98,4523
44112,Used car dealers,4/1/98,4400
44112,Used car dealers,5/1/98,4356
44112,Used car dealers,6/1/98,4723
44112,Used car dealers,7/1/98,4535
44112,Used car dealers,8/1/98,4476
44112,Used car dealers,9/1/98,4138
44112,Used car dealers,10/1/98,4535
44112,Used car dealers,11/1/98,3730
44112,Used car dealers,12/1/98,3691
4413,"Automotive parts, acc., and tire stores",1/1/98,4478
4413,"Automotive parts, acc., and tire stores",2/1/98,4354
4413,"Automotive parts, acc., and tire stores",3/1/98,5028
4413,"Automotive parts, acc., and tire stores",4/1/98,5094
4413,"Automotive parts, acc., and tire stores",5/1/98,5141
4413,"Automotive parts, acc., and tire stores",6/1/98,5280
4413,"Automotive parts, acc., and tire stores",7/1/98,5364
4413,"Automotive parts, acc., and tire stores",8/1/98,5225
4413,"Automotive parts, acc., and tire stores",9/1/98,5075
4413,"Automotive parts, acc., and tire stores",10/1/98,5316
4413,"Automotive parts, acc., and tire stores",11/1/98,4769
4413,"Automotive parts, acc., and tire stores",12/1/98,4875
"442,443","Furniture, home furn, electronics, and appliance stores",1/1/98,12293
"442,443","Furniture, home furn, electronics, and appliance stores",2/1/98,11583
"442,443","Furniture, home furn, electronics, and appliance stores",3/1/98,12577
"442,443","Furniture, home furn, electronics, and appliance stores",4/1/98,11985
"442,443","Furniture, home furn, electronics, and appliance stores",5/1/98,12439
"442,443","Furniture, home furn, electronics, and appliance stores",6/1/98,12788
"442,443","Furniture, home furn, electronics, and appliance stores",7/1/98,13127
"442,443","Furniture, home furn, electronics, and appliance stores",8/1/98,13429
"442,443","Furniture, home furn, electronics, and appliance stores",9/1/98,12789
"442,443","Furniture, home furn, electronics, and appliance stores",10/1/98,13161
"442,443","Furniture, home furn, electronics, and appliance stores",11/1/98,14613
"442,443","Furniture, home furn, electronics, and appliance stores",12/1/98,19359
442,Furniture and home furnishings stores,1/1/98,5822
442,Furniture and home furnishings stores,2/1/98,5581
442,Furniture and home furnishings stores,3/1/98,6162
442,Furniture and home furnishings stores,4/1/98,6038
442,Furniture and home furnishings stores,5/1/98,6225
442,Furniture and home furnishings stores,6/1/98,6310
442,Furniture and home furnishings stores,7/1/98,6466
442,Furniture and home furnishings stores,8/1/98,6502
442,Furniture and home furnishings stores,9/1/98,6329
442,Furniture and home furnishings stores,10/1/98,6693
442,Furniture and home furnishings stores,11/1/98,7186
442,Furniture and home furnishings stores,12/1/98,8098
4421,Furniture stores,1/1/98,3569
4421,Furniture stores,2/1/98,3375
4421,Furniture stores,3/1/98,3657
4421,Furniture stores,4/1/98,3468
4421,Furniture stores,5/1/98,3622
4421,Furniture stores,6/1/98,3606
4421,Furniture stores,7/1/98,3660
4421,Furniture stores,8/1/98,3673
4421,Furniture stores,9/1/98,3603
4421,Furniture stores,10/1/98,3734
4421,Furniture stores,11/1/98,3975
4421,Furniture stores,12/1/98,4168
4422,Home furnishings stores,1/1/98,2253
4422,Home furnishings stores,2/1/98,2206
4422,Home furnishings stores,3/1/98,2505
4422,Home furnishings stores,4/1/98,2570
4422,Home furnishings stores,5/1/98,2603
4422,Home furnishings stores,6/1/98,2704
4422,Home furnishings stores,7/1/98,2806
4422,Home furnishings stores,8/1/98,2829
4422,Home furnishings stores,9/1/98,2726
4422,Home furnishings stores,10/1/98,2959
4422,Home furnishings stores,11/1/98,3211
4422,Home furnishings stores,12/1/98,3930
44221,Floor covering stores,1/1/98,1153
44221,Floor covering stores,2/1/98,1178
44221,Floor covering stores,3/1/98,1358
44221,Floor covering stores,4/1/98,1413
44221,Floor covering stores,5/1/98,1367
44221,Floor covering stores,6/1/98,1465
44221,Floor covering stores,7/1/98,1458
44221,Floor covering stores,8/1/98,1479
44221,Floor covering stores,9/1/98,1498
44221,Floor covering stores,10/1/98,1578
44221,Floor covering stores,11/1/98,1496
44221,Floor covering stores,12/1/98,1518
442299,All other home furnishings stores,1/1/98,
442299,All other home furnishings stores,2/1/98,
442299,All other home furnishings stores,3/1/98,
442299,All other home furnishings stores,4/1/98,
442299,All other home furnishings stores,5/1/98,
442299,All other home furnishings stores,6/1/98,
442299,All other home furnishings stores,7/1/98,
442299,All other home furnishings stores,8/1/98,
442299,All other home furnishings stores,9/1/98,
442299,All other home furnishings stores,10/1/98,
442299,All other home furnishings stores,11/1/98,
442299,All other home furnishings stores,12/1/98,
443,Electronics and appliance stores,1/1/98,6471
443,Electronics and appliance stores,2/1/98,6002
443,Electronics and appliance stores,3/1/98,6415
443,Electronics and appliance stores,4/1/98,5947
443,Electronics and appliance stores,5/1/98,6214
443,Electronics and appliance stores,6/1/98,6478
443,Electronics and appliance stores,7/1/98,6661
443,Electronics and appliance stores,8/1/98,6927
443,Electronics and appliance stores,9/1/98,6460
443,Electronics and appliance stores,10/1/98,6468
443,Electronics and appliance stores,11/1/98,7427
443,Electronics and appliance stores,12/1/98,11261
443141,Household appliance stores,1/1/98,830
443141,Household appliance stores,2/1/98,769
443141,Household appliance stores,3/1/98,853
443141,Household appliance stores,4/1/98,839
443141,Household appliance stores,5/1/98,921
443141,Household appliance stores,6/1/98,999
443141,Household appliance stores,7/1/98,1043
443141,Household appliance stores,8/1/98,962
443141,Household appliance stores,9/1/98,889
443141,Household appliance stores,10/1/98,932
443141,Household appliance stores,11/1/98,947
443141,Household appliance stores,12/1/98,1115
443142,Electronics stores,1/1/98,5641
443142,Electronics stores,2/1/98,5233
443142,Electronics stores,3/1/98,5562
443142,Electronics stores,4/1/98,5108
443142,Electronics stores,5/1/98,5293
443142,Electronics stores,6/1/98,5479
443142,Electronics stores,7/1/98,5618
443142,Electronics stores,8/1/98,5965
443142,Electronics stores,9/1/98,5571
443142,Electronics stores,10/1/98,5536
443142,Electronics stores,11/1/98,6480
443142,Electronics stores,12/1/98,10146
444,Building mat. and garden equip. and supplies dealers,1/1/98,13303
444,Building mat. and garden equip. and supplies dealers,2/1/98,13298
444,Building mat. and garden equip. and supplies dealers,3/1/98,16065
444,Building mat. and garden equip. and supplies dealers,4/1/98,18342
444,Building mat. and garden equip. and supplies dealers,5/1/98,19145
444,Building mat. and garden equip. and supplies dealers,6/1/98,19008
444,Building mat. and garden equip. and supplies dealers,7/1/98,18249
444,Building mat. and garden equip. and supplies dealers,8/1/98,17036
444,Building mat. and garden equip. and supplies dealers,9/1/98,17301
444,Building mat. and garden equip. and supplies dealers,10/1/98,17934
444,Building mat. and garden equip. and supplies dealers,11/1/98,16167
444,Building mat. and garden equip. and supplies dealers,12/1/98,16575
4441,Building mat. and supplies dealers,1/1/98,11400
4441,Building mat. and supplies dealers,2/1/98,11326
4441,Building mat. and supplies dealers,3/1/98,13453
4441,Building mat. and supplies dealers,4/1/98,14815
4441,Building mat. and supplies dealers,5/1/98,15323
4441,Building mat. and supplies dealers,6/1/98,16078
4441,Building mat. and supplies dealers,7/1/98,15875
4441,Building mat. and supplies dealers,8/1/98,15048
4441,Building mat. and supplies dealers,9/1/98,15191
4441,Building mat. and supplies dealers,10/1/98,15676
4441,Building mat. and supplies dealers,11/1/98,14025
4441,Building mat. and supplies dealers,12/1/98,13991
44412,Paint and wallpaper stores,1/1/98,
44412,Paint and wallpaper stores,2/1/98,
44412,Paint and wallpaper stores,3/1/98,
44412,Paint and wallpaper stores,4/1/98,
44412,Paint and wallpaper stores,5/1/98,
44412,Paint and wallpaper stores,6/1/98,
44412,Paint and wallpaper stores,7/1/98,
44412,Paint and wallpaper stores,8/1/98,
44412,Paint and wallpaper stores,9/1/98,
44412,Paint and wallpaper stores,10/1/98,
44412,Paint and wallpaper stores,11/1/98,
44412,Paint and wallpaper stores,12/1/98,
44413,Hardware stores,1/1/98,972
44413,Hardware stores,2/1/98,900
44413,Hardware stores,3/1/98,1104
44413,Hardware stores,4/1/98,1321
44413,Hardware stores,5/1/98,1421
44413,Hardware stores,6/1/98,1422
44413,Hardware stores,7/1/98,1352
44413,Hardware stores,8/1/98,1307
44413,Hardware stores,9/1/98,1292
44413,Hardware stores,10/1/98,1296
44413,Hardware stores,11/1/98,1221
44413,Hardware stores,12/1/98,1357
445,Food and beverage stores,1/1/98,33440
445,Food and beverage stores,2/1/98,30661
445,Food and beverage stores,3/1/98,33392
445,Food and beverage stores,4/1/98,33926
445,Food and beverage stores,5/1/98,35722
445,Food and beverage stores,6/1/98,34351
445,Food and beverage stores,7/1/98,36390
445,Food and beverage stores,8/1/98,35388
445,Food and beverage stores,9/1/98,34037
445,Food and beverage stores,10/1/98,35421
445,Food and beverage stores,11/1/98,34557
445,Food and beverage stores,12/1/98,39240
4451,Grocery stores,1/1/98,30679
4451,Grocery stores,2/1/98,27947
4451,Grocery stores,3/1/98,30501
4451,Grocery stores,4/1/98,30826
4451,Grocery stores,5/1/98,32456
4451,Grocery stores,6/1/98,31215
4451,Grocery stores,7/1/98,33067
4451,Grocery stores,8/1/98,32220
4451,Grocery stores,9/1/98,31005
4451,Grocery stores,10/1/98,32214
4451,Grocery stores,11/1/98,31377
4451,Grocery stores,12/1/98,34681
44511,Supermarkets and other grocery (except convenience) stores,1/1/98,
44511,Supermarkets and other grocery (except convenience) stores,2/1/98,
44511,Supermarkets and other grocery (except convenience) stores,3/1/98,
44511,Supermarkets and other grocery (except convenience) stores,4/1/98,
44511,Supermarkets and other grocery (except convenience) stores,5/1/98,
44511,Supermarkets and other grocery (except convenience) stores,6/1/98,
44511,Supermarkets and other grocery (except convenience) stores,7/1/98,
44511,Supermarkets and other grocery (except convenience) stores,8/1/98,
44511,Supermarkets and other grocery (except convenience) stores,9/1/98,
44511,Supermarkets and other grocery (except convenience) stores,10/1/98,
44511,Supermarkets and other grocery (except convenience) stores,11/1/98,
44511,Supermarkets and other grocery (except convenience) stores,12/1/98,
4453,"Beer, wine, and liquor stores",1/1/98,1846
4453,"Beer, wine, and liquor stores",2/1/98,1768
4453,"Beer, wine, and liquor stores",3/1/98,1894
4453,"Beer, wine, and liquor stores",4/1/98,1963
4453,"Beer, wine, and liquor stores",5/1/98,2140
4453,"Beer, wine, and liquor stores",6/1/98,2059
4453,"Beer, wine, and liquor stores",7/1/98,2209
4453,"Beer, wine, and liquor stores",8/1/98,2118
4453,"Beer, wine, and liquor stores",9/1/98,2031
4453,"Beer, wine, and liquor stores",10/1/98,2163
4453,"Beer, wine, and liquor stores",11/1/98,2154
4453,"Beer, wine, and liquor stores",12/1/98,3037
446,Health and personal care stores,1/1/98,10185
446,Health and personal care stores,2/1/98,9761
446,Health and personal care stores,3/1/98,10445
446,Health and personal care stores,4/1/98,10609
446,Health and personal care stores,5/1/98,10730
446,Health and personal care stores,6/1/98,10651
446,Health and personal care stores,7/1/98,10763
446,Health and personal care stores,8/1/98,10755
446,Health and personal care stores,9/1/98,10458
446,Health and personal care stores,10/1/98,10995
446,Health and personal care stores,11/1/98,10805
446,Health and personal care stores,12/1/98,13426
44611,Pharmacies and drug stores,1/1/98,8526
44611,Pharmacies and drug stores,2/1/98,8185
44611,Pharmacies and drug stores,3/1/98,8711
44611,Pharmacies and drug stores,4/1/98,8854
44611,Pharmacies and drug stores,5/1/98,8969
44611,Pharmacies and drug stores,6/1/98,8785
44611,Pharmacies and drug stores,7/1/98,8897
44611,Pharmacies and drug stores,8/1/98,8884
44611,Pharmacies and drug stores,9/1/98,8730
44611,Pharmacies and drug stores,10/1/98,9231
44611,Pharmacies and drug stores,11/1/98,9144
44611,Pharmacies and drug stores,12/1/98,11499
447,Gasoline stations,1/1/98,15235
447,Gasoline stations,2/1/98,14063
447,Gasoline stations,3/1/98,15358
447,Gasoline stations,4/1/98,15687
447,Gasoline stations,5/1/98,16780
447,Gasoline stations,6/1/98,16730
447,Gasoline stations,7/1/98,17294
447,Gasoline stations,8/1/98,16818
